,nickname,contents,datetime
13,niki****,예고편 만든 사람 해고각이다... 스토리 반전.. 영화안 번뜩이는 장면 모두를 담아냈네 ㄷㄷ  ,2017-05-17 00:58:00
14,칼토스(kalt****),근래 보기 드문 수작이다 배우만 내새우는 쓰레기 한국영화 보다가 스토리 연출 반전 완벽하게 떨어지는 영화다운 영화를 봤다  ,2017-05-17 03:42:00
15,오래오래(lema****),"사슴,모자,휴대폰, 소품들의 치밀함 그리고 대사까지도 놀라울 따름이다. 이건  괴기스러움을  넘어서는 새로운 느낌이다.  ",2017-05-17 02:48:00
16,표야(pyoy****),감독이 천재인가.. 모든장면이 다 이유가 있엇다는거  ,2017-05-17 02:29:00
17,king세종king(king****),겟아웃이 '여기서 꺼져'가 아니라 '여길 나가'였을줄은...  ,2017-05-20 01:53:00
18,siri(siri****),관람객아무리 설명해줘도 모를거야 진심 직접 봐야함  ,2017-05-17 13:29:00
19,욱(loop****),여자애가 우유랑 콘푸로스트 따로먹는게 백인이랑 유색인종이랑은 섞일 수 없다는걸 암시한다는 리뷰 보고 경악했다 ㅋㅋ  ,2017-05-23 16:18:00
20,박준식(fahr****),관람객교통경찰이최고시다!!!  ,2017-05-17 22:58:00
21,게임하는여왕님(ange****),"관람객나름 신선한소재, 약간 후반부가 빠르게 정리된느낌으로... 아쉽게끝이나네요..  ",2017-05-17 23:55:00
22,하하(bree****),Picking cotton 솜을뜯다 = 목화를따다 같은 의미를 두고있는데 이를 이용해 흑인들이 목화를 따며 생명을 연장하듯 솜을 뜯으며 생명을 연장하는 연출을 보며 천재적인 연출에 소름이 쫘아아악~~ 모든 장면이 의미 있었음  ,2017-05-21 11:43:00
23,음야(styt****),마지막까지 친구가 배신하는줄ㅋㅋ  ,2017-05-18 16:46:00
24,헤일리(wkdg****),관람객오랜만에 보는 천재적인 영화  ,2017-05-17 13:57:00
25,아지뱀(yhoc****),예고편 보고 보지 마세요  ,2017-05-17 10:38:00
26,베이비그루트(hyel****),관람객남자 주인공 진짜 매력쩜ㅋㅋㅋ첫장면부터 훠우~! 소리지르게됨 (물론 속으로)  ,2017-05-17 14:06:00
27,샤먼(ehdw****),관람객영화는 시종일관 음울한 분위기를 유도한다. 보는내내 불편한 기분이 들지만 그와는 별개로 짜임새있는 구성과 지속적으로 던져지는 떡밥에 왜? 저런 장면이 나오는가 하며 영화에 몰입하게 만든다. 영화를 보고나면 누군가와 얘기하고 싶어서 참을수 없을것이다.  ,2017-05-17 21:27:00
28,aga1****,감독이 숨겨놓은 연결고리들과 나오는 사람들 표정하나하나 왜그랬는지 알면 개소름  ,2017-05-17 10:45:00
29,무소유(okho****),감독이 관객한테 던져놓은 과제가 수십가지..  ,2017-05-17 02:46:00
30,백승길(bbac****),애인보다 좋은친구를 두어야 한다~  ,2017-05-20 23:41:00
31,대박(dkyi****),여자하인은 진짜 첨부터 끝까지 섬뜩 -ㅅ- ;  ,2017-05-18 13:52:00
32,hun(wjh9****),"흑인들이 주먹으로 인사하는데 그걸 초대받은 흑인이 손잡는거보고 이게복선이라는걸 영화끝에느낌 소름,  ",2017-05-17 23:58:00
33,한동근(dkbo****),이젠 뻔한 공포보단 이런 심리스릴러가 더 호러스럽다  ,2017-05-18 19:04:00
34,나그네(yglm****),한시간 반짜리 영화인데 무슨 30분 영화인줄 엄청 몰입감 최고였다.  ,2017-05-18 13:53:00
35,너구리(jas1****),여자하녀 웃으면서 눈물 흘리는 연기가 제일 인상적이였다. 빙고 할 때 처음에 뭐하는건가 싶었는데 앞에 사진 걸려 있는거 보고 소름  ,2017-05-21 14:11:00
36,요마(yoma****),관람객남자주인공 매력있음 빨간눈이 터질듯  ,2017-05-17 23:14:00
37,kje0****,흔하지않은 소재와 괜찮은 연출임 간만에 재밌게봄  ,2017-05-17 00:31:00
38,pain****,예상을 어느정도 해도 첨부터 쌓아올린 긴장감에 인물관계도 에 결말까지는 절대 집중해서 보지않고는 제대로 봤다고 할수 없는 영화  ,2017-05-17 02:31:00
39,인또(yong****),"여기다가써봐야 누가보겠냐만은 베스트댓글?에 여자애는 중요한사진을 대충보관하냐~써있길래 씁니다. 수술받기로한 짐허드슨이 영상통화할때 말해줍니다. 1,2,3단계가있는데 2단계가 ""이 상황에대한인지""라고, 영화 한번 더 보시면 보입니다. 일부러 보라고놔둔거  ",2017-05-30 18:44:00
40,찝찝(44ma****),극후반 10분 최후의 경찰차 장면에서 관객은 모두 같은 것을 예상하죠.주인공이 백인이었다면 희망적이었을 그 장면이흑인이기 때문에 절망적이 되는 간접 체험을 하게 됩니다.그것이모든걸말해주는것같네요  ,2017-05-29 21:54:00
41,썽썽힛(ssss****),관람객감독 돌았ㅋㅋㅋㅋ 끝까지 소오름!  ,2017-05-17 13:59:00
42,rlaw****,관람객개무섭다ㅜㅜ진짜재밋는데 찝찝하고짜증남..  ,2017-05-17 20:25:00
