,nickname,contents,datetime
178,npng(kckh****),플래시 터지고 주인공한테 나가라고 덤벼드는 장면 나중에 이해하고 소름돋았음 그냥 모든 장면들이 유기적으로 짜맞춰지는 순간 온몸에 전율이...  ,2017-05-21 02:38:00
179,오ㅇ오(ohwe****),탈출하면서 세뇌당한 흑인들 다 구하길 바랬는데ㅋㅋㅋ 그래도 재밌었다!  ,2017-05-22 12:21:00
180,revenge(qnrq****),결말 예상했다는새기특징: 대갈통에서 온갖 뇌피셜을 싸질러본다. 우연히맞으면 '역시 내예상은 틀린적이 없어 ㅈ노잼이네' 틀리면 일단 싸물고 있다가 지가 싸질른 뇌피셜중에 들어맞는거 찾은 후 '저봐 저럴줄알았다니까? 결말뻔하다~~' ㅆㄹㅇ;;  ,2017-05-21 01:17:00
181,히히히하히하히히히(ggum****),영화 스포하지말라고?? 예고편을 봤다면 스포 당한거지 뭐  ,2017-05-17 19:05:00
182,Miso(jazz****),아주세련된 인종차별 영화  ,2017-05-17 13:22:00
183,dlwlrma(qae1****),내가봤던 영화중에 제일 소름돋았던 영화인거같다 새벽이라그런것도있겠지만 보고나서 복선들찾아보니깐 2번소름돋았다  ,2017-06-06 03:16:00
184,hoho****,관람객완전 수작임. 봤던 공포?영화 중 상당히 재밌는 축에 들었음.  ,2017-06-03 13:01:00
185,Andrew(k107****),심장이 내내 쫄깃쫄깃 스릴러  ,2017-05-21 01:49:00
186,곰돌이마스터(conp****),사람이 어떠한것보다 제일 무섭다.  ,2017-05-19 21:27:00
187,Toyou0410(vkfk****),관람객영화 초반 배경음악부터 관객을 압도했던 영화  ,2017-05-29 22:30:00
188,점윰(wjdd****),이 영화는 끝나고 파는 재미가 더 쏠쏠 근데 감독 진짜 디테일 쩌는 듯  ,2017-05-20 02:12:00
189,박종우(pupu****),난 괜찮았는데 평점 1은 뭐지 ㅋㅋ  ,2017-05-18 21:04:00
190,Juhyun Park(pjuh****),관람객백인과 흑인 간의 미묘한 신경전 묘사 굿! 스릴도 굿!  ,2017-06-01 21:17:00
191,jabu****,"관람객지리고 말았습니다,,  ",2017-05-29 20:42:00
192,헤븐(sens****),오랜만에 시간가는줄 모르고 본 영화 지루한 타임이 없엇다  ,2017-05-28 12:30:00
193,짜니짜니(v3_c****),신분증 검사 1층에서의 잠적 빙고게임에서도 한번더봐야 이해가 될것같은영화  ,2017-05-19 16:37:00
194,호동천하(sixs****),공포를 띄어넘는 역대급 영화를 방금 보고왔네;;  ,2017-05-17 22:43:00
195,냥(kajk****),쎅슬레이브발음 개찰짐 들을때마다 웃기넼ㅋㅋ  ,2019-03-16 23:31:00
196,안그래(isno****),지배는 하고 싶고 멸시하지만 그들의 타고난 우월함은 뺏고 싶은 추악한 욕망덩어리들의 화이트 판타지세계. 그들이라고 블랙판타지를 꿈꿔보지 않았겠는 가. 차별과 편견으로 각인해 세뇌로 똘똘뭉쳐 내리학습된 착각속에 빠진 이들의 의식수준이 언제쯤 정화될꼬.  ,2017-10-05 01:54:00
197,민정(555j****),예고편을 안보고 봐서 더 재밌었던것 같다. 귀신튀어나오는 영화들처럼 그런부류의 공포영화가 아니라 정말...내용에 소름돋았네요..  ,2017-06-04 01:14:00
198,임도혁(dd93****),관람객최고 계속되는 긴장감과 오싹함  ,2017-05-29 22:30:00
199,jiyoung(bbb5****),소름소름 모든 장면엔 이유가 있었다... 영화보고 이렇게 여운남는거 오랜만..  ,2017-05-22 09:26:00
200,고은지(eunj****),재미없다는 사람들은 미래에서옴? ㅋㅋ 이영화보다 흥미로운건 보질 못했구만  ,2017-05-21 14:05:00
201,에프투씨인터내셔널(ftoc****),영화 요소들은 어디서 본듯한 내용들이지만 연출이나 반전 등이 좋았다. 괜찮은 스릴러  ,2017-05-20 23:46:00
202,simj****,충격을 넘어선 공포가 바로 이런느낌..여운이 계속 남어 ㅠ  ,2017-05-20 14:23:00
203,Kate14(ldsl****),멋있어 이런영화... 화려한 출연진 cg로 도배된듯한 영화보다 100배는 더!  ,2017-05-20 00:31:00
204,김신유(siny****),끝나고나서 솜뭉치를 어떻게 넣었을까 생각했는데 그게 이영화에서 나온 흑인들의 신체적우월함을 표현한것같다!!  ,2017-05-20 01:39:00
205,메날두(dudg****),큰흥행이 안되어서 상당히 저평가 된 영화.몇년안에 만든 영화 중 가장 명작  ,2018-07-02 05:16:00
206,arag****,명작 까진 모르겠으나 보는내내 심장이 쫄깃했던 수작은 ㅇㅈ  ,2017-05-22 14:34:00
207,sepp****,몰입도 짱짱 연기도 짱짱 역대급  ,2017-05-21 01:52:00
208,알뤼르(bay7****),와 나 평점 처음 남겨 너무 재밌어  ,2017-05-21 00:12:00
209,행복한콩(tlsd****),관람객진짜 신선하다 예상을 뒤엎음  ,2017-05-18 11:02:00
210,Funny(ung3****),관람객새로운 스릴러의 감각.  ,2017-05-20 00:38:00
211,jjjooo(wnfl****),크리스는 참 좋은 친구를 뒀다  ,2019-04-12 01:37:00
212,jung****,솔직히 이거 9점까지 평점올려야한다. 한국에서 지나치게 과소평가된 영화. 갠적으로 무섭지? 무섭자나? 라고 내세우는 공포영화들보다 이런류가 훨씬 공포스럽다  ,2019-03-17 14:05:00
213,ㅎㅎ(goql****),공포영화 속 주인공이 이렇게까지 영리하고 사이다인 적이 없었어  ,2019-03-17 00:14:00
214,솜이(kunb****),와 진짜 간만에 신선한 영화!평화롭고 아늑한 영상미에 암울한 BGM이 더해지니괴기스럽고 소름돋는다흑인여배우 눈은 울고있는데 입은 웃고있고흑인간병인 밤에 뛰어올때 진짜 개놀램무튼 영화 초반부영상+배경음악 너무 좋았다아 말해뭐해!그냥 보는게 답  ,2017-05-26 02:44:00
215,INY(rudx****),Get out 리뷰나 후기 절대 보지 말고 관람  ,2017-05-21 00:02:00
216,n650****,신선한 호러물 인정! 알고보는데도 이정도인데 ㅋㅋ  ,2017-05-20 23:47:00
217,퍼플(bjj4****),이 세상 공포가 아니다! 진심 소름  ,2017-05-19 22:35:00
218,corb****,"처음 아이셔를 먹었을때 느낌? 진짜 온몸의 감각이 쭈삣하고, 거부스러우면서도 계속 땡김  ",2017-05-19 00:01:00
219,488(ysro****),평점 너무 낮음 한 8.7은 넘어야될듯  ,2017-05-21 00:58:00
220,초코송이(tcr2****),진짜 영화보고 집오면서 소름 계속돋아서 ...진짜 꼭 보세연ㄴ... 진짜 씹 소름 개 소름 조오오오오온나 소름 브금술가 십캐리..꼭 보세요..!  ,2017-05-21 00:45:00
221,마시멜로(acrd****),작은 흑형을 건드리면 아주 ㅈ되는 거야  ,2017-05-19 18:18:00
222,glaa****,관람객와! 대박. 내용 참신해요. 시간 엄청 빨리 갑니다.  ,2017-05-18 00:30:00
223,에버그린(paju****),여자친구가 뚱띵이 친구 꼬실려고 전화했을때 뚱띵이가 쌍욕하는거 완전 시원함 ㅋㅋ뚱띵이친구 눈치 졸 빠름 ㅋㅋ  ,2019-03-31 19:21:00
224,타로(tech****),어스보고 버린 눈 겟아웃 한번 더 보고 씻으련다.  ,2019-03-31 01:46:00
225,wjdg****,소름.. 시간 가는 줄 모르고 본 영화 지루할 틈이 없다 최고!!  ,2019-03-31 00:04:00
226,zephyr(tn99****),여러색의 씨리얼이랑 흰 우유를 섞지 않고 따로 먹는 씬.. 이게 핵심인 듯..  ,2018-02-01 21:06:00
227,powe****,관람객으 재미는있는데 뭔가찝찝함  ,2017-06-08 04:37:00
228,천재곱창(thdd****),복선 오진다. 그리고 마지막 십분은 빡친흑형한테는 피지컬로 깝치지말라는 교훈까지 십분만에 혼자 해결하고 뚝딱걸어나오기  ,2017-06-04 21:38:00
229,댄디(fly3****),영화를 보다가 움찔움찔 했습니다  ,2017-05-21 01:54:00
230,바다사l우(leeh****),소재도 신선했구 내용도 집중해서 봐야해서 보는 내내 긴장하게 만드는 영화였음영화에 대한 설명이 너무 없어 걱정했는데 믿고 보는 영화인것 같구 글로 설명이 안되는 영화!!!  ,2017-05-20 23:38:00
231,정광덕(jkd0****),나도 저 최면에 빠지면 어떤 느낌일까?  ,2017-05-20 23:32:00
232,CONNECTION(no1c****),마냥 무겁지만도 않고 이해못할정도로 어렵지도 않고!! 그래서 더 재밌게 봤다.  ,2017-05-20 17:17:00
233,ilik****,영화보기전엔 예고편이 스포라는말 뭔지 몰랐는데 영화보고나니 무슨말인지 알겠다영화보실분들 절대 예고편 보지 마세요  ,2017-05-19 18:17:00
234,106동 입주자(ljhg****),할머니 할아버지는 생각도 못했다 ㄷㄷ  ,2019-03-16 23:56:00
235,Sulli(hert****),내가 지금까지 본 영화들 중 두 손가락 안에 들 정도로 최고의 영화. 초반에 조금 지루한 부분이 있지만 후반을 생각하면 다 이해가 가는 부분.  ,2017-05-26 22:01:00
236,청년사대(work****),완벽 그 자체. 인류의 미래를 미리 봤다!!  ,2017-05-21 01:54:00
237,rkwj****,관람객보고나서 감독이 이런생각을 했단거에 충격받고계속 머릿속에 맴돌아서 충격받고  ,2017-05-19 00:55:00
238,우테이스(love****),관람객정말 긴장감 최고입니다  ,2017-05-18 13:40:00
239,kpop****,관람객기대이상 !   생각보다 괜찮은 영화였음  ,2017-05-18 01:33:00
240,쥐나(cjn9****),"근데 아직도 맨 처음에 주인공의 'Not today, not me.'가 이해가 가질 않는다 더 꼬인게 있는건가  ",2017-05-21 11:17:00
241,wisdom(yang****),뇌를 지배당한 육체의 길잃은 눈빛 소름  ,2019-04-12 23:35:00
242,풀장(pool****),여기저기 복선이 많이 숨겨져 있어서 2번째 볼때가 훨씬 더 재밌었던 영화...  ,2019-04-07 08:51:00
243,rlac****,와..정말 몰입감있게 봤습니다  ,2019-03-31 00:41:00
244,tnql****,"결말을 알고보니까 초반에 나오는 장면하나 대사하나가 전부 소름,,  ",2019-03-30 23:57:00
245,daily2019(robo****),이걸 왜 개봉당시에 안 봤을까? 지금 봤는데도 긴장감 완전 제대로 된 무비  ,2019-03-30 00:01:00
246,나의여백(mrte****),2번 봤는데 볼때마다 지리네~ 다시 보니 처음 볼때 놓쳤던 복선들을 볼수 있어 너무 좋았음  ,2019-03-17 14:31:00
247,삼삼이(psej****),다시봐도 소름돋는 영화 그 하인 들이랑 실종된 남자 백인말투랑 연기하는거 진짜 대박  ,2019-03-17 14:02:00
248,hot5****,이런게 공포영화지... 깜짝놀래키는게 공포영화가 아니라 그건 새로운 장르가 생겨야돼... 깜짝놀래는영화로 이런 심리적 공포를 줘야 진짜 공포영화지  ,2019-03-07 20:14:00
249,구미잘(ruds****),단연코 작년에 나온 모든호러영화중 가장 신선했음  ,2018-04-15 01:53:00
250,insi****,당신 삶엔 존나쩌는  TSA친구가 있습니까?  ,2018-01-18 21:34:00
251,anyyong(7hur****),근래 본 공포장르중 가장 만족스러웠음  ,2017-07-03 03:26:00
252,푸와피그렛(mydd****),관람객진짜 재밌음갠적으로 이런류의 영화를굉장히좋아하는사람으로서 신선한충격을준영화.추천합니다  ,2017-06-06 06:08:00
253,짱나네요(java****),너 무 심각할 정도로 신선하다  ,2017-05-20 23:42:00
254,khh8****,뒤로갈수록 빠르게 전개되서 더 정신없었어요 ㅋㅋ  ,2017-05-20 23:39:00
255,jyle****,금연클리닉 못받겠다.... 금연은해로워  ,2017-05-20 00:26:00
256,또디(haga****),솔직히 양심적으로 기대겁나했는데 인생영화수준. 아주살짝아쉬운부분은 2개있지만 그래도 핵꿀잼.한번더볼거임  ,2017-05-19 17:42:00
257,신민기(tlsa****),"몰입감있게 잘 보았음, 영화관에서 보는걸 추천 예고편은 보지말고 가세요  ",2017-05-19 11:52:00
258,헤헤(5bom****),처음느껴보는 재미??  ,2017-05-19 04:11:00
259,25(thwo****),영화 정말 재있게봤는데 예고편을 미리 안본게 천만다행인듯.. 이 영화보실분들은 예고편 절대 보지마시길  ,2017-05-18 13:31:00
260,아아아아아(qwas****),흑인을 노예 취급하는 꼴통 백인우월주의자인줄 알았는데 흑인을 광적으로 동경하는 미친놈들이었던거임ㅋㅋㅋㅋ  ,2019-04-26 09:00:00
261,렌즈나라(lens****),분위기만으로 압도하는 영화  ,2017-05-21 11:05:00
262,반달곰(yell****),미국판 곡성. 결말은 예상이 가능 하지만 영화 속 인물들의 대사/행동 하나하나를 곱씹어보게된다. 주제에 대한 쿡쿡 찌르는(?)게 아닌 잘 숨겨놓은 지뢰같은(??) 풍자까지 더해져 좋았다.  ,2017-05-19 22:03:00
263,오드리꽃사슴(hanl****),마지막 경찰차에서 내리는 그순간 그전 크리스가 무조건적인 손들때 삶이 어떻게살아왔나를  몇초컷에 다보여주는 느낌..  ,2019-04-22 12:32:00
264,미요(qi77****),10점도 적다.. 100점짜리 영화  ,2019-04-10 18:43:00
265,말단팀장(thir****),다 좋은데...일반 사람들도 위기 상황에서는 저흐렇게 잔인 해 질수 있을까? 어쨌든 괜찮은 연화임  ,2019-03-17 02:16:00
266,스타우주(wade****),미쳤다리....빠져들게됨  ,2019-03-16 00:03:00
267,리오넬 메시(xodu****),죽여주는 영화 우리는 이런영화 못만드냐 왜  ,2019-01-13 00:59:00
268,Ray(jysh****),몰입할 수 밖에 없는 연출과 연기.신선한 소재라도 잘못 활용하면 낭비가 되는데 잘 녹여내서 성공작이 된 듯. 몇몇 복선들이 영화 후반부에 한꺼번에 이해가 되면서 알수없는 희열감마저 듬. 다들 연기력 대단했지만 영화 끝나면 흑인 가정부만 떠오름.  ,2018-07-02 01:21:00
269,fanalfata(mr00****),제가 사이비종교에 현혹되서 다니다가 밤에 집에서 이영화봤는데요. 이영화덕분에 정신차리고 나온것같습니다.  ,2018-05-01 15:45:00
270,예삼이(yspn****),수많은 복선들이ㅡ영화 후반부에 하나씩 떠오르며 소름ㅇ돋음. 배우들 연기 음악 분위기 스토리 모든것에 끊임없이 소름돋음. 걍 보세요  ,2017-05-27 17:53:00
271,임수향(486h****),간만에 두손 붙잡고 긴장하며 봄. 내용도 신선하며스릴 넘치고 쫄면서 본 영화. 작지만 반전의 반전도 좋았음.  ,2017-05-21 00:02:00
272,천(yyyy****),진짜 꿀잼 영화를 보는 순간 그 자체가 긴장 ;;  ,2017-05-20 00:22:00
273,발명왕(kwon****),스포하지마 제발 볼거니깐  ,2017-05-19 17:38:00
274,hjdh****,예고편 절대보지말자. 내용을 함축해놔서 보고보면  재미가 마니 떨어짐.  곡성보단 스켈리톤키가 생각나는영화. 남주연기가 쩜 표정과 눈빛~  ,2017-05-18 11:37:00
275,다미(forb****),"너무 기대하던 영화라 개봉전에 예고편 두번세번보고 어제 개봉하자마자 보고 왔는데.... 예고편에너무 많은걸 담은듯.. 영화의 모든 중요한 장면이 예고에 전~~~~부 다 들어가있어서 영화 볼때 재미가 반감됐음 그 점이 아쉽지만, 영화자체는 좋았음  ",2017-05-18 08:10:00
276,한승화(sky9****),충격적인 영화네요 ㅎㅎ 다만 보는내내 긴장감이 넘쳐서 영화끝나고나면  피곤이 몰려와요 ㅋㅋㅋ  ,2017-05-18 00:14:00
277,띠로리(gong****),와 재밋다 ㅋㅋㅋㅋ 이걸 왜 이제 봤지???  ,2019-03-20 19:00:00
278,pont****,<블랙팬서>식 허세보다는 이런 공포물이 흑인사회에 훨씬 도움됨.  ,2019-03-19 10:52:00
279,zzzz****,"올해 최고 공포영화 국산영화처럼 쓸데없이 놀래켜서 공포를 주는게아니라점점 조여오는 알수없는 서스펜스,, 그리고 공포감  ",2017-06-07 23:26:00
280,박정우(altm****),관람객그냥 꿀잼. 누가보기엔 그냥 징그러운영화일수도...  ,2017-05-28 20:37:00
281,kdg3****,와 다보고 해석을 보면 또소름 처음부터 복선이 게속있음  ,2017-05-22 16:26:00
282,fred****,관람객재밌음 신선했음 ㅎㅎㅎ  ,2017-05-18 11:48:00
283,레알마드리드(natu****),예고편 만든사람 누구야 진짜;;  예고편에 모든게 다나옴 스포임 절대 보지마요  ,2017-05-21 11:30:00
284,noto****,아 진쨔 ㄹㅇ 개꿀잼 이네요 ㅜㅜ 아 정말로 기대하고 보기 잘한거 같아요 ㅜㅜ꼭 보세요 진짜루 안보면 후회할지도 진짜 스토리가 충격적이네요 ㅜㅜ 소름돋기도 하고 앞으로 이런 영화가 많이 나왓으면 하네요이런건 영화관에서 큰스크린으로 봐야할듯해오 ㅠ  ,2017-05-21 01:49:00
285,하윤(dbsw****),"파티에서 만난 흑인도 빠져나왔겠죠 구해줬겠죠다시 생각해보면 ""겟아웃!겟아웃!"" 외쳤던게 너무 마음아파요..  ",2017-05-19 23:25:00
286,altj****,관람객처음부터 끝까지 집중하고 봣네용ㅎㅎ오랜만에 스릴잇엇습니당 너무 큰기대는 마세요ㅋㅋ!!  ,2017-05-19 01:00:00
287,king****,관람객감독에게 칭찬을 !!!  ,2017-05-18 01:33:00
288,비(tngh****),무슨 블로그 광고쟁이들 말 들어보면 할리우드판 곡성이니 반전이니 했는데. 그런거 없음. 걍 재미있음. 처음부터 끝까지 블로그나 평론가들 글 봤던거 생각나서 봤는데 그냥 영화에다가 각자의 상상력을 불어넣어서 다른 영화를 만든정도임. 걍 그냥 보면됨.  ,2017-05-17 20:51:00
289,BIBIBI(0sun****),"스릴러인데 B급 스토리, B급 반전, B급 연출..그냥 B급영화. 대충 7점대가 적당한데 엄청 고평가하네. 그리고 21세기에 이거무슨 역인종차별 아닌가 생각될정도로 흑인들 피해망상 소재 하나로 완성함..왜 백인들이 트럼프 뽑는지 알겠다야  ",2017-11-26 00:26:00
290,ana(khjn****),연출이 정말 기가막혔어요 단순 스릴러로 칭하기엔 너무 걸작  ,2019-05-19 18:40:00
291,내가최고(ruru****),백명친구 소용없다.  정신 똑바로박힌  쓸모있는친구한명이면 충분함.  ,2019-05-06 16:08:00
292,돌쇠(kix1****),이세상 그 어떤 것도 사람만큼 무서운 존재는 없다.  ,2019-04-09 22:27:00
293,pitt(heav****),"평점보면 불만들이 많으신데. 뻔한 전개다, 높은 평점은 알바다, 이런 소리 때문에 나도 안보려했음. 근데 오늘 할게 없어서 한번 봤는데, 뻔한 전개는 아니었음. 이런 부분에 있어서는 남의 말 휘둘리지 말고 직접 보고 판단하는게 맞는 것 같음.  ",2019-04-07 14:21:00
294,하리보(a896****),그냥 미쳤다 그 이상 이야기를 못한다...공포영화가 놀라서 소름끼치는게 아니라 스토리로 소름끼치게 만든 영화...  ,2019-03-30 02:09:00
295,Silver(silv****),흑인남친이랑 극장에서 소리지르면서 관람했던 소름끼치면서 괴이하고 슬프면서도 재미있었던 영화.  ,2019-03-17 14:24:00
296,강초코(seoh****),흑인남자가 백인여자친구 집에 초대받으면서 벌어지는 이야기는 맞는데 영화 소개 왜저래 성의없냐 영화자체는 휼륭함  ,2019-03-17 13:33:00
297,아마도(djac****),이런 류의 영화를 진짜 좋아하는데 이건 아무생각없이 보고 의미를 알고나서 한번 더 봐야함. 그리고 한번 더 볼때는 꼭 말이나 자막같은거 주의깊게 봐야함..  ,2019-03-17 12:26:00
298,개근(geun****),"댓글들 스포 투성이인거 읽고 봤는데도 몇번 놀라고.. 저도 사람이지만 이런 영화 볼때마다 인간이란 생명체 자체에 혐오감이 생김. 인간은 과연 자기자신을 위해 어디까지 행동을 할지..피부색이 다르다는 이유 하나로 물건고르듯, 사슴대하듯 하는 행동이...  ",2019-03-17 01:03:00
299,FHINN(gudq****),나 이거 중1때 봤는데 존나 소름돋으면서 재밌게봄 이제 만 15세됐으니 차기작은 정직하게 볼수있겠네 ㅋㅋ  ,2019-02-20 20:05:00
300,jhe(j_he****),아  설마  여주 남동생이 크리스한테 격투기 한번 해보자고 나댈 때 엄마가 눈치줬던 이유가 담배못피우게 하는 거랑 같은 이유인건가....소름....  ,2019-02-20 17:17:00
301,마리스텔라(mclo****),스릴러 좋아하는데 오랜만에 진짜 재밌게 봤다.  ,2019-01-16 00:51:00
302,mic(mich****),존잼 아무것도 모른채로 봐야 재밌음 단순 스릴만 있는게 아니라 여러모로 생각이 많이 드는 영화임 떡밥도 많아서 다 본 다음에 해석도 찾아보면 더 재밌음  ,2019-01-13 13:32:00
303,나는가수나다(godo****),"주인공이 모자쓴 흑인에게 사진플레쉬 터트렸을때 하는말인 ""GET OUT""이 이영화의 제목이며 최고의 복선입니다.  ",2017-11-15 00:28:00
304,asyz****,관람객남자친구랑 아침에 조조로 재미있게 잘봤어요 반전이 어느정도 예상되어서 아쉽긴 했지만 그래도 짧지 않은 러닝터임동안 긴장감있게 봤어요  ,2017-06-18 20:58:00
305,매수낄끼빠빠(ljw-****),관람객흑인 백인들만 알수잇는 소스들을 못즐겼는대도 이해가되는게 명작인듯거기다가 아시아인으로도 겪을수있는 인종차별이 나름걱정도됨ㅜㅜ  ,2017-06-03 12:48:00
306,ccs8****,관람객시간가는줄몰랐네요!!!  ,2017-05-29 18:23:00
307,아이러니(ansd****),별하나 준 사람은 도대체 어떤 시야로 영화 본걸까????여고괴담 이런류로 봐야 잼있다 느낄려나????이저거저 영화정보 알아보고 보는거보단 그냥 가벼운 맘으로 영화보러가면 기대이상엄청 신선하고 창의적인 공포를 맛보게 된다.최고~!  ,2017-05-25 23:40:00
308,tora****,마지막 클라이막스 구간이 좀 더 길고 엎치락뒤치락했다면 진짜 더 스릴 있었을테데!하지만 이 정도도 꽤 좋다고 생각함!  ,2017-05-25 13:43:00
309,루갈(xisi****),관람객처음부터 몰입감은 최고. 하지만 기대보다 조금 못미치는 반전.  ,2017-05-21 10:30:00
310,메디치(temp****),더큐어정도로 생각했는데 훨씬재밌네요 ㅎㅎ  ,2017-05-20 23:51:00
311,피디군(minw****),이렇게 한순간도 지루할틈없는 영화는 오랜만입니다 .  ,2017-05-20 23:47:00
312,시간사(gowo****),간만에 신선한 영화를 봤네요~!한권의 미스테리 소설책을 본듯 몰입감 짱!  ,2017-05-20 01:42:00
313,up21****,방금 보고왔는데 흥미진진했고  놀랬으며 신선하고 깔끔했어요 엄지 척!  ,2017-05-20 00:30:00
314,컴맹짱돌(love****),재미있어요 뭐랄까 생각치도 못한 전개에요  진짜 재미있게봤어요 소름돋는 부분이 많아요  ,2017-05-19 21:59:00
315,Pharker(gksm****),1~3점 주는 사람들 알바 너무 티나는거 아이가 ㅋㅋㅋㅋ적당히 해야 속지  ,2017-05-18 19:22:00
316,김민희(hee2****),귀신나오거나 막 놀래키는 호러보다 이런 분위기 압도적인 호러가 좋네요. 오랜만에 보니 더 좋음  ,2017-05-18 13:44:00
317,dreakbim(dark****),스토리 참신하다 ㅋㅋ 예고편 보고 생긴 의문들도 다 풀려서 재밌게 보고 옴  ,2017-05-18 13:44:00
318,park****,살다가 이런영화를 보게 될 줄이야..  ,2017-05-17 02:30:00
319,언더아머단속반(ooll****),우주로 떨어질때 가위눌린 기분들때 그런기분일꺼같음  ,2019-03-23 13:20:00
320,궤도진입(abov****),초반엔 흑인 차별 안하는것 같더니 아예 흑인을 쓸모 있는 도구 처럼 생각하고 있었다는게 소름. 내가 다 빡침.  ,2019-03-19 14:12:00
321,진모군(qwee****),쓰레기 한국영화 보다가 눈호강  ,2019-03-14 20:25:00
322,울산(qwlk****),조지나 역 하신 배티 가브리엘? 이분이 살린듯..  ,2017-05-22 23:17:00
323,박건영(pgy2****),무섭거나 잔인한 장면없이 마음 철렁하게 만드네  ,2017-05-21 11:06:00
324,쿨개미(ever****),와 오랜만에 제대로 긴장탐 ㅋㅋ개통쾌함 ㅋㅋ  ,2017-05-21 01:54:00
325,땡이(yoyo****),관람객다보고나니 머리가 지끈지끈...ㅠㅠ  ,2017-05-21 00:32:00
326,박종진(8bal****),관람객몰입감 굳 연기도 굳 재미도 굳  ,2017-05-18 19:04:00
327,최민규(haro****),예고편을 보지 않았다면 정말 재미있었을걸... 무튼 최근들어 반전도 짜임새도 훌륭한 작품  ,2017-05-18 13:11:00
328,규언천재(b38y****),"전반 흡입력 쩔, 중반 호기심 바짝, 후반 심장이 쿵쾅  ",2017-05-18 21:07:00
329,Ukbro(sunh****),미쳤다. 그냥 미친거다 . 영화를 본후에 후유증이 남는다.. 앞으로 2번 더 볼것이다. 차키를찾아..차키를...  ,2017-05-18 18:40:00
330,S350블루텍(hkn8****),처음남깁니다 근래 본영화중에 최고였습니다 대박입니다ㅎ  ,2017-05-17 20:35:00
331,타투(tmdd****),이걸 예상 못하는게 더 이상함살인의 추억이 10배는 더 나음 그냥 인종차별 문제를 잘 다뤘다정도  ,2018-03-17 18:41:00
332,목표는 누나다(bins****),걍 물타기영화ㅋㅋㅋㅋ해석이고나발이고 재미 자체가 없어  ,2017-07-23 12:31:00
333,vaux****,"재미없는 영화임 ,평점에 속았음,광고에 속고  ",2017-07-22 22:36:00
334,MIZI(aksl****),"어스를 보고, 이 영화를 재평가  ",2019-06-01 08:44:00
335,sunday(hola****),내가 이걸 왜이제봤지...  ,2019-05-27 02:32:00
336,요다(qkdr****),인종차별을 싫어하는 나는 이미 인종차별을 하고있었다.  ,2019-05-22 09:10:00
337,하림블리(leeh****),마지막 장면에 주인공이 결국 누명을 쓰겠구나 라고 생각이 들었을 때 내 자신도 얼마나 편견에 차 있는 사람인지 알 수 있었다.  ,2019-05-19 18:33:00
338,각설탕(chlg****),공포영화라기 보단 기묘한 이야기 같은 느낌  ,2019-05-03 14:51:00
339,bero****,아.꼭보아야할영화.영화로 세상을 이해한다.우리나라에서도 힘없으면 이렇게 당하는건 마찬가지.조심하고 조심해야한다.  ,2019-04-19 12:13:00
340,acan****,너무 재밌게 봤습니다. 경찰차 올때 이게 희망인지 절망인지...  ,2019-04-15 01:25:00
341,임성욱(sw22****),떡밥 회수나 중반까지 긴장감은 좋았는데 그 이후로 전개가 갑작스러워져서 띠용??했음 중후반부터 난해하다고 해야하나 갑작스레 모든 게 이뤄져서 좀 아쉽다 스토리라인은 그럭저럭  ,2019-04-11 23:19:00
342,Young ji(youn****),오랜만에 신선한 영화를 본거같다.. 뒤로 갈수록 흥미진진  ,2019-04-11 08:22:00
343,이희진(gmlw****),이런발상대박이다진짜..  ,2019-04-06 20:35:00
344,mdsi****,반전이 놀랍네요. 간만에 재밌는 영화 봤습니다  ,2019-04-06 19:40:00
345,hadl****,스릴러로서의 재미를 놓지 않으면서 인종차별의 의미도 새겨넣었다.  ,2019-04-06 19:20:00
346,tyaa****,정말재밌다 진짜참신하고 긴장감에 통쾌함에  ,2019-04-01 00:06:00
347,luke****,치밀하고도 섬세한 스릴러. 기가막힌 영화!  ,2019-03-31 22:56:00
348,롬브로단로(enen****),다양한 장치들이 빛을 발하는 멋진 영화... 너무 재밌게 봤네요.  ,2019-03-31 17:10:00
349,블랙토끼(you_****),브루노마스 닮은 인물이 중간에 크리스에게나가라고 할때 나갔으면 그들의 범죄는 끝내밝혀지지 않고 피해자는 더 늘었겠지 마지막까지 정말 너무 소름 돋는다  ,2019-03-31 17:09:00
350,안녕(moon****),사람이 무서워지는 영화  ,2019-03-31 04:52:00
351,magicfrstival(aqua****),솜귀마개 할꺼 같았다ㅋㅋ  ,2019-03-30 23:56:00
352,Andy(skpa****),뇌수술 장면이 너무 무서웠어요  ,2019-03-30 11:02:00
353,o지연o(ljiy****),나는 흑인여자가 제일 무서웠음 얼굴 줌인해서 눈물흘리면서 웃는 장면은 진심공포...한번정도는 보는거 추천!!  ,2019-03-17 14:12:00
354,감자(dkss****),현대에서도 흑인들한테만 과잉진압하는 사건들 몇번봤는데 이영화보니까 인종차별에대해 더 생각하게되네내용도 신선하고 결말에 경찰차 온거보고 크리스 손들때 아.. 했다가 안심함 ㅋㅋ  ,2019-03-17 14:00:00
355,어느별에서왔니(drew****),평점이 초기에는 7.4점이었는데 갑자기 8점대로 올랐다는 것은 조용하고 보라는 것이다  ,2019-03-17 12:09:00
356,슬기(nike****),"감독 천재다. 신선도, 기발함에선 식스센스보다 더하다  ",2019-03-17 01:02:00
