word,tf
벌어지,4.32
이야기,5.39
그동안,2.0
짧,3.58
추리,2.0
좋아하,4.32
드,4.32
저만큼,1.0
해석,5.09
나름,3.0
재미있,3.32
아무리,2.58
한들,1.0
대사,4.0
시각적,1.0
표현,3.32
음향,3.58
효과,2.58
직접,4.0
절대,3.0
특히,2.58
음악,3.58
기분,4.46
나중,4.58
악몽,2.58
꾸,1.0
배경,2.0
제격,1.0
쭉,1.0
사귀,3.81
겨우,2.0
개월,3.32
만,3.32
인사,4.91
드리,3.81
살짝,3.58
암튼,2.0
중요,4.0
데려가,3.0
분명,2.0
미리,3.32
하라,1.0
얏,1.0
안심,3.0
웨,2.0
막상,2.0
가보,3.32
정원사,4.32
가정부,4.81
계속,4.7
담배,4.91
끊,3.32
오빠,3.32
잘만,1.0
훈련,1.0
최고,1.0
짐승,1.0
둥,3.32
무례,2.58
상의,1.0
다음날,1.0
앞마당,1.0
펼쳐지,2.0
자의,1.0
반,2.58
타의,1.0
부자,2.58
정말,5.58
밤일,2.58
잘하,3.0
약간,3.81
저러,2.0
초면인,1.0
의미심장,1.0
질문,3.32
던지,3.32
그곳,2.0
결혼,1.0
젊,3.81
마주치,2.0
다가,2.58
반갑,3.58
건네,3.0
읭,1.0
어쩌,1.0
고,3.58
반응,4.17
미심쩍,2.58
의심,4.17
플래쉬,4.58
모드,1.0
끄,1.0
대놓고,1.0
터지,4.0
버리,5.39
마주하,1.0
갑자기,4.32
돌변,2.0
끌려가,2.0
잠시,4.46
후,5.25
안정,2.0
아무렇,2.58
척,3.81
미안,2.0
찝찝,3.81
동네,2.0
실종,4.7
성노예,3.32
삼,3.0
마을,3.0
빠져나오,2.0
영화관,2.0
웃기,2.0
점점,3.81
고조,1.0
장롱,1.0
도저히,1.0
상황,5.32
납득,2.0
의하,3.58
배신,1.0
지하실,3.0
갇히,2.0
결론,3.0
두뇌,2.58
결합,2.0
늙,4.46
병들,2.0
의식,5.25
시행,1.0
수술의,1.0
과정,4.7
엄마,5.39
너,2.58
선택,3.0
라면,2.0
안되,3.32
수술,5.91
이루어지,1.0
묶이,2.58
소파,3.58
손잡이,2.0
손톱,2.0
긁,2.0
솜,4.17
막,4.81
걸리,5.25
데리,3.58
속이,2.0
뒷통수,1.0
엄청,3.58
아프,2.0
때리,1.0
당연히,1.0
죽이,4.81
청,2.0
불,3.0
헷갈리,2.58
징그럽,2.0
잔인,3.58
모두,5.32
하인,4.46
같이,4.17
빠져나가,1.0
임팩트,1.0
심오,1.0
글쓰기,1.0
실력,2.0
부족,1.0
자세,1.0
개인적,3.58
삭제,3.32
담,3.32
포스,2.58
팅,2.58
스포일러,3.81
성,1.0
짙,2.0
포스팅으,1.0
바라,3.32
스틸,1.0
컷,1.0
출처,2.58
다음,3.81
무비,1.0
제목,2.0
조,3.32
필,3.32
레,3.58
관객,4.46
보여주,4.91
얼마,2.58
동생,2.58
추천,4.7
충격,4.32
휩싸이,2.0
작품,4.0
전부,4.0
잘못,2.58
한편,3.32
풍자,1.0
담기,2.58
블랙,2.0
코미디,1.0
빽빽,1.0
짜여지,2.0
스릴러,5.09
모든,3.58
장르,3.58
두루,1.0
섭렵,1.0
그만큼,2.0
의문점,1.0
많이,4.32
남,6.55
오늘,3.32
인터,1.0
먼트,1.0
뭐,4.32
낱낱,1.0
히,2.0
분석,1.0
터,4.46
지나치,3.0
만하,3.0
샅샅,1.0
훑어보,1.0
오프닝,2.0
유쾌,1.0
카,2.0
스테레오,1.0
납치,5.39
사건,3.32
발생,2.58
눈치,3.32
빠르,3.0
당시,2.58
납치범,1.0
여주인공,4.17
남동생,3.0
제레미,5.25
타,4.58
차량,2.0
예측,3.0
가능,3.0
포,2.0
르쉐,2.0
아이덴티티,1.0
거리,3.58
디자인,1.0
출시,1.0
모델,1.0
주인,4.46
공이,2.58
저택,4.32
탈출,4.0
앤드류,4.0
주인공,6.04
사자,1.0
시전,1.0
낌새,2.0
제공,2.0
매우,3.58
키,4.7
펄,1.0
슬,1.0
기도,1.0
헤드,3.32
락,3.32
납,1.0
추후,2.58
기술,1.0
전문가,2.0
하면,2.0
링,4.32
커,4.17
자동차,2.58
회사,2.58
포드,2.58
산하,1.0
브랜드,1.0
주력,1.0
생산,1.0
과거,3.81
노예,3.0
해방,1.0
기여,1.0
애,1.0
브라,1.0
함,3.32
상징,2.0
깁미,1.0
불행,1.0
현장,3.58
도구,3.0
방문,4.32
방문객,2.58
타운,1.0
비,1.0
게이,1.0
리무진,1.0
사라지,3.58
모순,1.0
구조,1.0
에,1.0
내리,3.58
일하,3.32
