word,tf
돌아오,3.58
예고편,3.58
비판,3.58
맞추,3.58
요청,3.58
연결,3.58
은폐,3.58
을,3.58
고,3.58
현,3.58
뭐,3.58
영화관,3.58
시절,3.58
실마리,3.58
사용하,3.58
쫓,3.58
달리,3.58
몰래,3.58
경찰의,3.58
짝사랑,3.58
조작,3.58
내리,3.58
몰입,3.58
회수,3.58
아직,3.58
꼭,3.58
대학,3.58
잡히,3.58
용의자,3.58
피시,3.58
칩스,3.58
근처,3.58
밑,3.58
놓치,3.58
방향,3.58
오늘,3.58
복선,3.58
동영상,3.58
여,3.58
짓,3.58
송금,3.58
본격적,3.58
학생,3.58
맥,3.58
종결,3.58
소식,3.58
몰르,3.58
형,3.58
마약,3.58
만,3.58
분노,3.58
