word,tf
어떻게,3.58
대부분,3.58
긴장감,3.58
한번,3.58
메,3.58
느,3.58
일단,3.58
암,3.58
매우,3.58
해,3.58
포인트,3.58
내가,3.58
누군가,3.58
날,3.58
고교,3.58
부,3.58
새롭,3.58
재미있,3.58
유일,3.58
본인,3.58
전개,3.58
잠깐,3.58
프리,3.58
퀄,3.58
잘하,3.58
별로,3.58
워낙,3.58
작전,3.58
놀,3.58
무슨,3.58
임신,3.58
핸드폰,3.58
너,3.58
어리,3.58
기철,3.58
죽이,3.58
통로,3.58
뚫,3.58
빨리,3.58
서,3.58
유리창,3.58
맨,3.58
누,3.58
니,3.58
공간,3.58
달라,3.58
나중,3.58
앉,3.58
버스,3.58
통과,3.58
싣,3.58
극한,3.58
부부,3.58
열심히,3.58
성공,3.58
물리치,3.58
욕,3.58
살아가,3.58
잃,3.58
이렇게,3.58
웃,3.58
담,3.58
어색,3.58
몰입,3.58
응원,3.58
화,3.58
또한,3.58
자체,3.58
분명,3.58
시민,3.58
발암,3.58
저기,3.58
시골,3.58
태우,3.58
과정,3.58
괴물,3.58
위치,3.58
끊,3.58
발,3.58
만이,3.58
바이오,3.58
어둠,3.58
떠나,3.58
그만큼,3.58
기관사,3.58
붙잡,3.58
진입,3.58
빠져나가,3.58
