word,tf
코믹,3.58
요소,2.58
재미,3.0
쏠쏠,2.0
귀엽,2.0
한번쯤,2.58
꼭,2.58
미국,3.58
평점,3.32
리뷰,3.81
보기,2.0
임신,1.0
피하,2.0
포스터,4.46
풍기,1.0
느낌,3.32
가깝,2.0
하여,2.58
과감히,1.0
용기,1.0
어,3.58
금요일,1.0
정말로,1.0
초반,2.0
빼,2.0
무섭,5.7
쎄,1.0
겟아웃,4.0
제작진,3.58
아직,2.0
못,4.7
불구하,1.0
기대,3.81
훌륭,1.0
그리하,4.46
스토리,3.32
비슷하,1.0
주의,4.58
조선,1.0
호,2.58
김,3.0
명민,1.0
변,1.0
요,2.0
유,3.32
재명,1.0
대한민국,1.0
리프,2.0
영,2.0
글,3.0
휴대폰,1.0
벨,3.58
노래,3.0
맴,1.0
돔,1.0
네이버,2.0
뮤직,2.0
블,1.0
로그,1.0
음악,4.0
앨범,1.0
재생,3.0
플레이어,1.0
이용권,1.0
미리,1.0
가능,1.0
브라우저,1.0
설정,3.58
확인,3.0
도움말,1.0
페이지,1.0
이동,1.0
처음,5.58
남자애,3.58
본명,1.0
테레사,1.0
지용,1.0
어젯밤,2.0
진탕,2.0
기억,4.0
질,3.0
자기,5.7
돌아가,4.46
의학,1.0
공부,1.0
중인,1.0
면허증,2.0
촛불,4.0
끄,4.46
엄마,3.58
이후,3.0
축하,5.25
슬프,1.0
알리,3.32
식사,2.0
같이,4.7
아빠,3.32
종일,1.0
쓰레기통,3.81
기껏,1.0
수제,1.0
눈앞,1.0
속상하,1.0
이기적,3.0
이틀,1.0
늦,3.32
수업,2.58
얼른,1.0
뛰어가,2.0
의사,3.32
유부남,3.0
교수님,2.0
사이,4.32
행사,2.58
외출,2.0
오르골,4.17
놓이,3.0
음침,1.0
뒤,4.91
마스코트,3.81
누군가,4.17
니,3.0
칼,4.32
찌르,3.58
그런데,4.7
침대,2.58
기르,1.0
소개,2.58
쭉,3.0
빵,3.58
걸이,2.58
잤냐,1.0
들이닥치,1.0
룸메,4.58
라이언,3.32
쳐다보,2.58
썰,1.0
여자애,1.0
잔디밭,2.58
키스,3.32
스프링,2.58
쿠,2.58
러,2.58
맞,4.17
커플,2.0
알람,1.0
울리,4.46
빨갛,1.0
쓰러지,3.81
어제,3.0
헐,2.0
걷,2.58
발견,3.0
펀치,2.0
날리,3.32
프라이,1.0
즈,2.0
써,2.58
닉,4.58
휴,1.0
꼬시,1.0
대로,1.0
물,3.0
담뱃대,2.0
나이트,1.0
조명,1.0
틀,2.58
춤,2.0
추,2.58
문자,3.0
닉을,1.0
공격,2.58
육탄전,3.0
잠깐,2.0
들어오,3.58
돕,1.0
달라,3.0
외치,1.0
완전히,1.0
코알라,1.0
그냥,3.81
막,4.32
꼼짝,1.0
랭,1.0
화장실,1.0
젤,2.0
만나,4.32
걸,4.17
하필,2.0
오늘,4.46
묻,2.58
너,3.0
보라,2.0
이때,2.58
재밌,4.91
용의자,4.32
리스트,3.32
작성,2.58
다니엘,4.58
아스팔트,1.0
길바닥,1.0
나뒹굴,1.0
야구,3.0
방망이,2.58
머리,3.32
내연,2.58
쌔,2.0
주기,1.0
엑스레이,2.58
되살아나,1.0
상처,1.0
축적,1.0
목숨,3.81
고양이,1.0
언젠가,1.0
영원히,1.0
안전,3.32
불구,2.58
목,3.58
마르,1.0
소다,1.0
닿,3.0
사무실,2.0
훔치,2.58
쫓아오,3.32
간신히,1.0
차로,2.58
넘,2.58
신나,3.0
소리지르,2.0
난리,1.0
경찰,4.46
차,4.58
세우,2.58
과속,2.0
차량,2.0
등록증,1.0
마약,2.58
경찰서,2.58
구금,1.0
스스로,3.32
체포,3.32
채이,1.0
채,3.58
경찰차,4.17
뒷,1.0
칸,1.0
안심,1.0
연료,1.0
통,2.0
새,3.0
불,3.32
터지,2.58
식당,2.58
밥,2.0
뉴스,4.0
동네,1.0
복도,1.0
그놈,2.0
그전,1.0
달리,1.0
가보,1.0
위험,1.0
뒤따라오,2.0
달려들,2.58
도망치,3.81
제압,2.0
그럼,2.58
깨지,2.58
종,1.0
탑,1.0
위,4.0
올라가,3.0
매,1.0
잘못,3.32
과의,1.0
바로잡,1.0
살인자,4.46
함,3.0
읭,1.0
돋,2.0
거지,3.0
멀리,2.0
떠나버려야겠다,1.0
짐,3.0
싸,1.0
켜,1.0
동안,3.32
넣,4.0
자백,1.0
겨우,1.0
쑤셔넣,1.0
층,2.0
안되,1.0
즉,3.0
로컬,1.0
인터뷰,2.0
애,3.0
멍청,1.0
현장,2.58
곳,4.17
않냐,2.0
자라,2.0
다음날,3.58
잠시,2.0
감정,1.0
엮,1.0
궁금,3.0
부,1.0
안녕,3.0
하세,3.0
앨리스,1.0
예,3.0
후기,4.17
공개,1.0
준비,3.58
겔브먼,2.58
데이비스,2.0
요란,1.0
벨소리,3.81
남학생,4.32
아프,2.58
정신없이,1.0
케이,1.0
초,4.46
꽂,1.0
휴지통,1.0
상해,1.0
추억,1.0
떠올리,2.0
힘들,2.58
평소,3.81
보내,4.46
다가가,1.0
튀로,1.0
축제,2.58
군가,1.0
전화벨,2.58
벗어나,3.58
찾아다니,1.0
애쓰,1.0
근처,1.0
확신,3.0
죽이려고,1.0
