word,tf
거,6.91
섞이,1.0
흥행,3.81
의아,2.0
절대,4.58
대중적,1.0
모두,6.04
느,3.32
상업,2.0
예술,3.0
가르,1.0
그리하,4.0
많이,4.81
치우치,1.0
편,5.0
이것,5.39
대중,2.58
평,3.0
론가,1.0
재미,4.17
매,3.0
순간순간,1.0
긴장,3.58
보다,3.0
소재,2.58
자체,4.46
긴장감,2.0
개인적,4.91
무난,1.0
취향,2.0
살인,6.32
추억,1.0
같이,4.91
한계,1.0
봉,1.0
준호,1.0
굉장히,4.91
상업적,1.0
반하,1.0
또라이,1.0
기질,1.0
분류,1.0
과연,3.32
순수,1.0
묻,5.81
틀림,1.0
악,6.58
측면,1.0
즐기,2.0
흥미,3.0
특히나,2.0
웠,1.0
기독교,3.58
미약,1.0
어느,5.17
관심,2.58
시골,4.17
할머니,4.91
이상,6.73
섬기,1.0
종종,2.0
매이,1.0
밤,5.25
일부러,1.0
피우,2.0
거기,2.58
다그,2.0
기도,2.58
여럿,1.0
밖,3.81
나가,5.25
상관없,1.0
공기,1.0
앉,4.58
냄새,2.0
유쾌,2.0
도시,4.0
풍습,1.0
아직,5.0
남,5.32
어디,4.32
남자,4.46
일찍,2.0
죽,7.6
온,2.58
걸,5.32
경로당,1.0
온통,1.0
할아버지,2.0
덜,4.58
해마다,1.0
꼭,3.81
기본적,2.0
통계학,1.0
설명,4.17
현상,3.81
인간,5.7
물론,2.0
통제,1.0
가능,2.58
동물,4.0
과학적,2.0
주로,2.0
나타나,5.25
본성,1.0
발휘,1.0
환경,1.0
자연,1.0
가깝,2.0
본능적,1.0
도덕,1.0
태어나,1.0
가끔,1.0
못,5.52
끔찍,2.0
눈,5.25
빈번,1.0
악의,3.0
은폐,2.0
훨씬,2.58
용이,1.0
예전,3.0
근처,4.32
산,4.0
행,2.0
진짜,6.04
다가,1.0
정말,5.46
동굴,3.58
참,4.46
일제,2.0
시대,1.0
전쟁,1.0
서민,1.0
곳,5.17
지내,2.0
발각,2.0
몰살,3.58
허다,1.0
영혼,3.32
떠돌,2.58
다니,2.0
혹은,4.17
영,3.32
믿,6.75
인정,3.0
사족,1.0
크루,2.58
머물,1.0
호텔,1.0
단골,1.0
신입,1.0
놀,3.32
직업,1.0
관두,1.0
