word,tf
입도,1.0
장르,4.7
라,5.46
새롭,3.58
무적,1.0
대응,2.58
재미있,3.58
꼼짝,1.0
몹시,1.0
위협,3.32
적인,3.32
게다,1.0
예고,2.0
비들,5.39
때려눕히,2.0
강인,1.0
외국,3.0
총,3.0
헤드,1.0
샷,1.0
날리,3.32
우리나라,4.81
맨주먹,1.0
대항,1.0
싸우,4.46
웃기,3.0
멋지,4.0
초반,4.17
즐거움,1.0
유일,3.58
본의,2.0
갇히,2.58
버리,6.43
각계,1.0
각층,1.0
다양,2.58
군상,2.0
보여주,5.0
자기,5.17
타인,2.0
배려,2.58
돕,3.32
본인,3.58
생존,4.0
이기적,4.81
거기,3.81
다,6.32
높,3.81
위의,2.0
임,4.46
강조,3.0
지저분,1.0
행색,1.0
노숙자,6.21
들이,2.58
내의,2.0
축소판,1.0
길,4.7
어렵,2.0
흘러가,2.58
결말,4.32
낳,4.32
코믹,1.0
스릴,3.81
질,2.0
중반,2.0
이후,4.7
뻔하,4.0
예상,3.0
빗나가,1.0
등장,4.17
상투,1.0
번갈아가,1.0
느끼,5.32
어느,4.46
의외,2.58
이면서,2.0
정말,6.64
갑자기,4.7
저러,3.32
개연성,2.58
느낌,5.46
강하,2.0
솔직히,3.0
썩,2.0
마음,4.7
전개,3.58
방식,3.0
아쉽,4.7
나름,3.81
오락성,1.0
현,2.58
실적,2.58
인사,2.58
회의,2.0
잠깐,3.58
눈물,4.58
자아내,2.0
당연히,2.58
호감,1.0
괜찮,3.81
작품,5.25
호의,2.0
작용,2.0
프리,3.58
퀄,3.58
덜,5.32
렙,1.0
미,4.0
마동석,5.39
최고,2.58
잘하,3.58
아역,3.0
덕분,3.81
리뷰,3.81
보기,2.58
물,5.7
별로,3.58
좋아하,5.46
워낙,3.58
여기저기,2.58
호평,2.58
원래,3.0
전문인,1.0
실사,2.58
분장,2.58
조잡,1.0
거의,4.0
완벽,2.58
만하,3.81
심지어,3.32
애,3.0
다음날,2.58
왠지,2.0
살짝,2.58
무섭,5.17
트럭,4.32
톨게이트,3.32
방역,3.81
시설,2.0
지나,4.7
투덜대,1.0
주변,4.91
모,3.0
회사,5.39
누출,1.0
신경,4.17
말르,2.58
안내원,1.0
고라니,5.0
치,4.0
재수,1.0
지나가,3.81
우두둑,1.0
일어나,5.0
앞두,1.0
아들,3.0
드러나,4.32
저,6.64
놀라,4.17
근데,4.0
시나리오,1.0
함,2.0
증권,2.0
다니,1.0
시장,1.0
안정,1.0
상관없이,1.0
작전,3.58
그야말로,2.58
넘,4.0
놀,3.58
딸아이,2.58
학예회,3.0
만나,5.0
떼,4.0
일도,1.0
아이,5.58
보내,3.81
억지,3.0
어디,4.17
선가,2.0
달리,5.09
들어오,4.7
짧,1.0
머리,3.32
쫓기,2.58
다리,3.32
부상,1.0
화장실,5.7
들어가,4.91
스타킹,1.0
억지로,2.58
신,3.0
상처,2.0
가리,4.32
얼굴,3.0
금세,1.0
변하,6.17
가출,3.32
소녀,4.17
목소리,3.0
맡,3.0
끝나,4.46
이어지,2.0
특별,1.0
경배,1.0
우,2.58
발견,4.81
