word,tf
촘촘하게,1.0
이어지,3.58
이로써,1.0
서스펜스,2.58
키우,2.0
뚫어지,1.0
바라보,2.58
웠,3.0
다,4.91
잠깐,2.0
부가,2.0
설명,4.0
인칭,2.0
시점,2.58
형태,1.0
온전히,1.0
이입,1.0
도와주,3.81
꼴,1.0
이러하,3.32
조건,2.0
변하,2.0
위,4.0
현상,1.0
더더욱,2.58
번지,1.0
집중력,1.0
또한,4.91
영리,2.0
선택,2.0
듯,5.0
강요,1.0
감사히,1.0
당연히,2.58
냉큼,1.0
이러,1.0
순간,3.58
끼,2.0
물,4.46
혼란,2.58
찾아오,3.81
머릿속,1.0
지저분,1.0
꽃피우,1.0
결국,6.13
분하,1.0
정리,3.32
하여,2.0
헐겁,1.0
일부러,2.0
지속적,1.0
예측,1.0
없었,4.0
집중,3.58
마구,2.0
샘솟,1.0
활용법,1.0
이상,5.86
켜지,2.58
윈도,2.0
우,2.0
초기,1.0
설정,3.32
스크린,3.32
마우스,3.0
커서,2.0
움직이,1.0
남자,4.17
계정,5.17
집어넣,1.0
사진,6.55
찍,4.7
켜,1.0
밝,2.58
웃,1.0
아내,5.58
어리,5.09
세,3.0
치즈,1.0
구호,1.0
함께,6.13
이내,1.0
뒤잇,1.0
피아노,6.32
치,4.7
침대,1.0
오르,2.0
타,4.32
잠을,1.0
깨우,2.0
대회,1.0
연주,2.0
응원,1.0
생일잔치,1.0
플레이,2.0
구글,4.58
검색,4.58
창,2.58
임파선,3.81
암,6.21
싸우,1.0
법,1.0
운동,2.58
투병,3.81
생활,2.58
담기,2.0
연잇,1.0
킴,6.43
파,5.52
메,5.75
사라,3.32
손,4.17
먼저,3.0
떠나보내,1.0
고등학교,2.0
다니,4.58
부재중,5.32
다음,4.81
걸,4.58
메시지,4.17
엄마,7.39
걷,3.58
계획,1.0
캠핑,5.0
그로,3.81
인해,2.0
장난,3.0
화풀이,1.0
함,2.58
게,2.0
청천,1.0
벽력,1.0
뒤,5.09
사건,7.63
로즈메리,7.6
빅,7.46
브라,4.17
싱,3.58
조언,1.0
접속,3.32
곳,5.39
남,4.17
그동안,3.32
상처,4.81
이처럼,1.0
시놉시스,1.0
범죄,4.46
